official_id,full_name,league_id,primary_conference,experience_years
cbb-paul-szelc-142,Paul Szelc,cbb,Big Ten,6
cbb-keith-kimble-24,Keith Kimble,cbb,Big Ten,6
cbb-roger-ayers-2,Roger Ayers,cbb,ACC,6
cbb-ron-groover-10,Ron Groover,cbb,ACC,6
cbb-brian-dorsey-6,Brian Dorsey,cbb,Big Ten,6
cbb-terry-oglesby-50,Terry Oglesby,cbb,SEC,5
cbb-doug-sirmons-56,Doug Sirmons,cbb,Big 12,6
cbb-d-j-carstensen-139,D.J. Carstensen,cbb,Big Ten,6
cbb-kipp-kissinger-23,Kipp Kissinger,cbb,Big 12,6
cbb-james-breeding-5,James Breeding,cbb,Big East,6
cbb-john-gaffney-13,John Gaffney,cbb,Big East,6
cbb-don-daily-52,Don Daily,cbb,SEC,6
cbb-bert-smith-34,Bert Smith,cbb,ACC,6
cbb-doug-shows-22,Doug Shows,cbb,SEC,6
cbb-pat-driscoll-4,Pat Driscoll,cbb,Big East,6
cbb-courtney-green-43,Courtney Green,cbb,Big Ten,6
cbb-lee-cassell-28,Lee Cassell,cbb,ACC,6
cbb-brian-o-connell-30,Brian O'Connell,cbb,Big East,6
cbb-joe-lindsay-59,Joe Lindsay,cbb,SEC,6
cbb-pat-adams-15,Pat Adams,cbb,SEC,6
cbb-earl-walton-29,Earl Walton,cbb,Big Ten,6
cbb-jeffrey-anderson-26,Jeffrey Anderson,cbb,Big Ten,6
cbb-byron-jarrett-55,Byron Jarrett,cbb,SEC,6
cbb-tony-padilla-79,Tony Padilla,cbb,Big 12,6
cbb-tony-chiazza-163,Tony Chiazza,cbb,Big East,6
cbb-matt-potter-31,Matt Potter,cbb,Big East,6
cbb-kelly-pfeifer-89,Kelly Pfeifer,cbb,Big Ten,6
cbb-owen-shortt-60,Owen Shortt,cbb,SEC,6
cbb-clarence-armstrong-9,Clarence Armstrong,cbb,ACC,6
cbb-lamar-simpson-46,Lamar Simpson,cbb,Big East,6
cbb-mike-roberts-27,Mike Roberts,cbb,Big East,6
cbb-larry-scirotto-41,Larry Scirotto,cbb,Big Ten,5
cbb-bart-lenox-157,Bart Lenox,cbb,SEC,6
cbb-brent-hampton-21,Brent Hampton,cbb,Big East,6
cbb-brooks-wells-85,Brooks Wells,cbb,Big 12,6
cbb-steven-anderson-66,Steven Anderson,cbb,SEC,6
cbb-tommy-morrissey-16,Tommy Morrissey,cbb,ACC,6
cbb-jeb-hartness-47,Jeb Hartness,cbb,SEC,6
cbb-tim-clougherty-18,Tim Clougherty,cbb,Big East,6
cbb-michael-greenstein-68,Michael Greenstein,cbb,Other,6
cbb-marques-pettigrew-81,Marques Pettigrew,cbb,Big 12,6
cbb-jeff-clark-14,Jeff Clark,cbb,Big East,6
cbb-mike-reed-51,Mike Reed,cbb,Big Ten,6
cbb-a-j-desai-25,A.J. Desai,cbb,ACC,6
cbb-tony-henderson-32,Tony Henderson,cbb,ACC,6
cbb-ted-valentine-11,Ted Valentine,cbb,ACC,5
cbb-patrick-evans-39,Patrick Evans,cbb,SEC,6
cbb-gregory-nixon-92,Gregory Nixon,cbb,Other,6
cbb-robert-riley-131,Robert Riley,cbb,Big Ten,5
cbb-nathan-farrell-229,Nathan Farrell,cbb,Big East,5
cbb-vladimir-voyard-tadal-53,Vladimir Voyard-Tadal,cbb,SEC,6
cbb-michael-irving-86,Michael Irving,cbb,Big Ten,6
cbb-verne-harris-104,Verne Harris,cbb,Big Ten,6
cbb-chuck-jones-58,Chuck Jones,cbb,SEC,6
cbb-bill-covington-jr-33,Bill Covington Jr.,cbb,ACC,6
cbb-ray-natili-76,Ray Natili,cbb,Big 12,5
