official_id,full_name,league_id,primary_conference,experience_years
cfb-shawn-hochuli-83,Shawn Hochuli,cfb,Other,17
cfb-barry-anderson-20,Barry Anderson,cfb,Other,14
cfb-tony-corrente-0,Tony Corrente,cfb,Other,13
cfb-walt-coleman-0,Walt Coleman,cfb,Other,12
cfb-carl-cheffers-51,Carl Cheffers,cfb,Other,11
cfb-jerome-boger-23,Jerome Boger,cfb,Other,11
cfb-jeff-triplette-0,Jeff Triplette,cfb,Other,11
cfb-bill-vinovich-52,Bill Vinovich,cfb,Other,11
cfb-terry-mcaulay-0,Terry McAulay,cfb,Other,10
cfb-clete-blakeman-34,Clete Blakeman,cfb,Other,10
cfb-ron-winter-0,Ron Winter,cfb,Other,8
cfb-mike-carey-0,Mike Carey,cfb,Other,8
cfb-bill-leavy-0,Bill Leavy,cfb,Other,8
cfb-peter-morelli-0,Peter Morelli,cfb,Other,8
cfb-brad-allen-122,Brad Allen,cfb,Other,8
cfb-craig-wrolstad-0,Craig Wrolstad,cfb,Other,8
cfb-adrian-hill-29,Adrian Hill,cfb,Other,7
cfb-john-parry-0,John Parry,cfb,Other,7
cfb-gene-steratore-0,Gene Steratore,cfb,Other,7
cfb-john-hussey-35,John Hussey,cfb,Other,7
cfb-kent-payne-0,Kent Payne,cfb,Other,7
cfb-patrick-turner-0,Patrick Turner,cfb,Other,6
cfb-greg-wilson-0,Greg Wilson,cfb,Other,6
cfb-jerod-phillips-0,Jerod Phillips,cfb,Other,6
cfb-keith-washington-0,Keith Washington,cfb,Other,6
cfb-alex-kemp-0,Alex Kemp,cfb,Other,6
cfb-mark-pellis-0,Mark Pellis,cfb,Other,6
cfb-greg-meyer-0,Greg Meyer,cfb,Other,6
cfb-allen-baynes-0,Allen Baynes,cfb,Other,6
cfb-brad-freeman-0,Brad Freeman,cfb,Other,6
cfb-shawn-smith-14,Shawn Smith,cfb,Other,6
cfb-boris-cheek-0,Boris Cheek,cfb,Other,6
cfb-tim-podraza-0,Tim Podraza,cfb,Other,6
cfb-clay-martin-19,Clay Martin,cfb,Other,6
cfb-todd-prukop-0,Todd Prukop,cfb,Other,6
cfb-eugene-hall-0,Eugene Hall,cfb,Other,6
cfb-greg-steed-0,Greg Steed,cfb,Other,6
cfb-alan-eck-76,Alan Eck,cfb,Other,6
cfb-jeff-seeman-0,Jeff Seeman,cfb,Other,6
cfb-kevin-codey-0,Kevin Codey,cfb,Other,6
cfb-carl-johnson-101,Carl Johnson,cfb,Other,6
cfb-scott-novak-1,Scott Novak,cfb,Other,6
cfb-aaron-santi-0,Aaron Santi,cfb,Other,6
cfb-julian-mapp-0,Julian Mapp,cfb,Other,6
cfb-john-jenkins-0,John Jenkins,cfb,Other,6
cfb-sarah-thomas-0,Sarah Thomas,cfb,Other,6
cfb-terrence-miles-0,Terrence Miles,cfb,Other,5
cfb-steven-woods-0,Steven Woods,cfb,Other,5
cfb-bill-carollo-0,Bill Carollo,cfb,Other,5
cfb-scott-green-0,Scott Green,cfb,Other,5
cfb-roy-ellison-0,Roy Ellison,cfb,Other,5
cfb-jonah-monroe-0,Jonah Monroe,cfb,Other,5
cfb-jabir-walker-0,Jabir Walker,cfb,Other,5
cfb-scott-helverson-0,Scott Helverson,cfb,Other,5
cfb-ryan-dickson-0,Ryan Dickson,cfb,Other,5
cfb-jim-quirk-0,Jim Quirk,cfb,Other,5
cfb-rich-martinez-0,Rich Martinez,cfb,Other,5
cfb-brad-rogers-126,Brad Rogers,cfb,Other,5
cfb-david-meslow-0,David Meslow,cfb,Other,5
cfb-greg-yette-0,Greg Yette,cfb,Other,5
cfb-rick-patterson-0,Rick Patterson,cfb,Other,5
cfb-greg-bradley-0,Greg Bradley,cfb,Other,5
cfb-james-coleman-0,James Coleman,cfb,Other,5
cfb-danny-short-0,Danny Short,cfb,Other,5
cfb-derick-bowers-0,Derick Bowers,cfb,Other,5
cfb-rusty-baynes-0,Rusty Baynes,cfb,Other,5
cfb-carl-paganelli-0,Carl Paganelli,cfb,Other,5
cfb-bryan-neale-92,Bryan Neale,cfb,Other,5
cfb-paul-king-0,Paul King,cfb,Other,5
cfb-land-clark-130,Land Clark,cfb,Other,5
cfb-dyrol-prioleau-0,Dyrol Prioleau,cfb,Other,5
cfb-dana-mckenzie-0,Dana McKenzie,cfb,Other,5
cfb-david-oliver-0,David Oliver,cfb,Other,5
cfb-don-willard-0,Don Willard,cfb,Other,5
cfb-terry-brown-0,Terry Brown,cfb,Other,5
cfb-mark-stewart-0,Mark Stewart,cfb,Other,5
cfb-tom-stephan-0,Tom Stephan,cfb,Other,5
cfb-larry-nemmers-0,Larry Nemmers,cfb,Other,5
cfb-dale-shaw-0,Dale Shaw,cfb,Other,5
cfb-jimmy-buchanan-0,Jimmy Buchanan,cfb,Other,5
cfb-ronald-torbert-62,Ronald Torbert,cfb,Other,5
cfb-mearl-robinson-0,Mearl Robinson,cfb,Other,5
cfb-anthony-jeffries-0,Anthony Jeffries,cfb,Other,5
cfb-tony-michalek-0,Tony Michalek,cfb,Other,5
cfb-tony-josselyn-0,Tony Josselyn,cfb,Other,5
cfb-dino-paganelli-0,Dino Paganelli,cfb,Other,5
cfb-fred-bryan-0,Fred Bryan,cfb,Other,5
cfb-matt-edwards-0,Matt Edwards,cfb,Other,4
cfb-mike-carr-0,Mike Carr,cfb,Other,4
cfb-tripp-sutter-0,Tripp Sutter,cfb,Other,4
cfb-gerry-austin-0,Gerry Austin,cfb,Other,4
cfb-michael-banks-0,Michael Banks,cfb,Other,4
cfb-mark-perlman-0,Mark Perlman,cfb,Other,4
cfb-nathan-jones-0,Nathan Jones,cfb,Other,4
cfb-perry-paganelli-0,Perry Paganelli,cfb,Other,4
cfb-brian-bolinger-0,Brian Bolinger,cfb,Other,4
cfb-bruce-stritesky-0,Bruce Stritesky,cfb,Other,4
cfb-patrick-holt-0,Patrick Holt,cfb,Other,4
cfb-grantis-bell-0,Grantis Bell,cfb,Other,4
cfb-jim-mello-0,Jim Mello,cfb,Other,4
cfb-dominique-pender-0,Dominique Pender,cfb,Other,4
cfb-terry-killens-jr-29,Terry Killens Jr,cfb,Other,4
cfb-daniel-gallagher-0,Daniel Gallagher,cfb,Other,4
cfb-ramon-george-0,Ramon George,cfb,Other,4
cfb-tra-blake-3,Tra Blake,cfb,Other,4
cfb-bernie-kukar-0,Bernie Kukar,cfb,Other,4
cfb-dave-hawkshaw-0,Dave Hawkshaw,cfb,Other,4
cfb-thomas-eaton-0,Thomas Eaton,cfb,Other,4
cfb-tom-white-0,Tom White,cfb,Other,4
cfb-tom-hill-29,Tom Hill,cfb,Other,3
cfb-mark-hittner-28,Mark Hittner,cfb,Other,3
cfb-jimmy-russell-0,Jimmy Russell,cfb,Other,3
cfb-anthony-flemming-0,Anthony Flemming,cfb,Other,3
cfb-frank-leblanc-0,Frank LeBlanc,cfb,Other,3
cfb-joe-blubaugh-0,Joe Blubaugh,cfb,Other,3
cfb-steve-patrick-0,Steve Patrick,cfb,Other,3
cfb-jerry-bergman-0,Jerry Bergman,cfb,Other,3
cfb-jeff-lamberth-0,Jeff Lamberth,cfb,Other,3
cfb-clay-reynard-0,Clay Reynard,cfb,Other,3
cfb-keith-ferguson-0,Keith Ferguson,cfb,Other,3
cfb-scott-edwards-0,Scott Edwards,cfb,Other,3
cfb-ron-torbert-62,Ron Torbert,cfb,Other,3
cfb-chad-hill-29,Chad Hill,cfb,Other,3
cfb-mark-steinkerchner-0,Mark Steinkerchner,cfb,Other,3
cfb-gary-cavaletto-0,Gary Cavaletto,cfb,Other,3
cfb-jeff-bergman-0,Jeff Bergman,cfb,Other,3
cfb-tab-slaughter-0,Tab Slaughter,cfb,Other,3
cfb-alberto-riveron-0,Alberto Riveron,cfb,Other,3
cfb-ed-camp-0,Ed Camp,cfb,Other,3
cfb-dan-ferrell-0,Dan Ferrell,cfb,Other,3
cfb-mike-weatherford-0,Mike Weatherford,cfb,Other,3
cfb-rich-hall-0,Rich Hall,cfb,Other,3
cfb-johnny-grier-0,Johnny Grier,cfb,Other,3
cfb-greg-gautreaux-0,Greg Gautreaux,cfb,Other,3
cfb-duane-heydt-0,Duane Heydt,cfb,Other,3
cfb-max-causey-0,Max Causey,cfb,Other,2
cfb-alonzo-ramsey-iii-0,Alonzo Ramsey III,cfb,Other,2
cfb-steve-zimmer-0,Steve Zimmer,cfb,Other,2
cfb-jeff-shears-0,Jeff Shears,cfb,Other,2
cfb-lo-van-pham-0,Lo van Pham,cfb,Other,2
cfb-ron-blum-0,Ron Blum,cfb,Other,2
cfb-thomas-symonette-0,Thomas Symonette,cfb,Other,2
cfb-walt-coleman-iv-0,Walt Coleman IV,cfb,Other,2
cfb-brandon-cruse-0,Brandon Cruse,cfb,Other,2
cfb-trawick-boger-23,Trawick Boger,cfb,Other,2
cfb-bart-longson-0,Bart Longson,cfb,Other,2
cfb-byron-boston-0,Byron Boston,cfb,Other,2
cfb-mike-morton-0,Mike Morton,cfb,Other,2
cfb-michael-spanier-0,Michael Spanier,cfb,Other,2
cfb-gary-arthur-0,Gary Arthur,cfb,Other,2
cfb-brian-sakowski-0,Brian Sakowski,cfb,Other,2
cfb-walter-flowers-0,Walter Flowers,cfb,Other,2
cfb-joe-larrew-0,Joe Larrew,cfb,Other,2
cfb-jason-ledet-0,Jason Ledet,cfb,Other,2
cfb-pete-morelli-0,Pete Morelli,cfb,Other,2
cfb-sean-petty-0,Sean Petty,cfb,Other,2
cfb-steve-stelljes-0,Steve Stelljes,cfb,Other,2
cfb-frank-steratore-0,Frank Steratore,cfb,Other,2
cfb-dick-hantak-0,Dick Hantak,cfb,Other,2
cfb-alex-moore-124,Alex Moore,cfb,Other,2
cfb-tyree-walton-0,Tyree Walton,cfb,Other,2
cfb-scott-campbell-0,Scott Campbell,cfb,Other,2
cfb-dale-keller-0,Dale Keller,cfb,Other,2
cfb-terry-killens-jr-0,Terry Killens Jr.,cfb,Other,2
cfb-bob-mcelwee-0,Bob McElwee,cfb,Other,2
cfb-maia-chaka-0,Maia Chaka,cfb,Other,2
cfb-robin-delorenzo-0,Robin DeLorenzo,cfb,Other,2
cfb-martin-hankins-0,Martin Hankins,cfb,Other,2
cfb-jeff-rice-0,Jeff Rice,cfb,Other,2
cfb-tony-steratore-0,Tony Steratore,cfb,Other,2
cfb-ruben-fowler-0,Ruben Fowler,cfb,Other,2
cfb-jay-bilbo-0,Jay Bilbo,cfb,Other,2
cfb-phil-mckinnely-0,Phil McKinnely,cfb,Other,2
cfb-michael-dolce-0,Michael Dolce,cfb,Other,2
cfb-steve-freeman-0,Steve Freeman,cfb,Other,1
cfb-walt-anderson-20,Walt Anderson,cfb,Other,1
cfb-bill-schuster-0,Bill Schuster,cfb,Other,1
cfb-lee-dyer-0,Lee Dyer,cfb,Other,1
cfb-brett-bergman-0,Brett Bergman,cfb,Other,1
cfb-jeff-hutcheon-0,Jeff Hutcheon,cfb,Other,1
cfb-karina-tovar-0,Karina Tovar,cfb,Other,1
cfb-brian-perry-0,Brian Perry,cfb,Other,1
cfb-buddy-horton-0,Buddy Horton,cfb,Other,1
cfb-james-carter-ii-0,James Carter II,cfb,Other,1
cfb-hugo-cruz-0,Hugo Cruz,cfb,Other,1
cfb-laird-hayes-0,Laird Hayes,cfb,Other,1
cfb-scott-walker-0,Scott Walker,cfb,Other,1
cfb-derek-anderson-20,Derek Anderson,cfb,Other,1
cfb-ron-marinucci-0,Ron Marinucci,cfb,Other,1
cfb-jim-howey-0,Jim Howey,cfb,Other,1
cfb-jon-lucivansky-0,Jon Lucivansky,cfb,Other,1
cfb-doug-rosenbaum-0,Doug Rosenbaum,cfb,Other,1
cfb-john-mcgrath-0,John McGrath,cfb,Other,1
cfb-bob-waggoner-0,Bob Waggoner,cfb,Other,1
cfb-ed-walker-0,Ed Walker,cfb,Other,1
cfb-wayne-mackie-0,Wayne Mackie,cfb,Other,1
cfb-brandon-ellison-0,Brandon Ellison,cfb,Other,1
cfb-phil-luckett-0,Phil Luckett,cfb,Other,1
cfb-gerald-austin-0,Gerald Austin,cfb,Other,1
cfb-don-carey-0,Don Carey,cfb,Other,1
cfb-butch-hannah-0,Butch Hannah,cfb,Other,1
