official_id,name,number,conference,primary_region,historical_game_count,status
cbb-paul-szelc-142,Paul Szelc,142,Big Ten,Midwest,258,active
cbb-keith-kimble-24,Keith Kimble,24,Big Ten,Midwest,251,active
cbb-roger-ayers-2,Roger Ayers,2,ACC,Southeast,239,active
cbb-ron-groover-10,Ron Groover,10,ACC,Southeast,239,active
cbb-brian-dorsey-6,Brian Dorsey,6,Big Ten,Midwest,220,active
cbb-terry-oglesby-50,Terry Oglesby,50,SEC,Southeast,206,active
cbb-doug-sirmons-56,Doug Sirmons,56,Big 12,Central,205,active
cbb-d-j-carstensen-139,D.J. Carstensen,139,Big Ten,Midwest,205,active
cbb-kipp-kissinger-23,Kipp Kissinger,23,Big 12,Central,203,active
cbb-james-breeding-5,James Breeding,5,Big East,Northeast,200,active
cbb-john-gaffney-13,John Gaffney,13,Big East,Northeast,194,active
cbb-don-daily-52,Don Daily,52,SEC,Southeast,189,active
cbb-bert-smith-34,Bert Smith,34,ACC,Southeast,187,active
cbb-doug-shows-22,Doug Shows,22,SEC,Southeast,186,active
cbb-pat-driscoll-4,Pat Driscoll,4,Big East,Northeast,180,active
cbb-courtney-green-43,Courtney Green,43,Big Ten,Midwest,170,active
cbb-lee-cassell-28,Lee Cassell,28,ACC,Southeast,168,active
cbb-brian-o-connell-30,Brian O'Connell,30,Big East,Northeast,167,active
cbb-joe-lindsay-59,Joe Lindsay,59,SEC,Southeast,161,active
cbb-pat-adams-15,Pat Adams,15,SEC,Southeast,156,active
cbb-earl-walton-29,Earl Walton,29,Big Ten,Midwest,148,active
cbb-jeffrey-anderson-26,Jeffrey Anderson,26,Big Ten,Midwest,146,active
cbb-byron-jarrett-55,Byron Jarrett,55,SEC,Southeast,146,active
cbb-tony-padilla-79,Tony Padilla,79,Big 12,Central,146,active
cbb-tony-chiazza-163,Tony Chiazza,163,Big East,Northeast,145,active
cbb-matt-potter-31,Matt Potter,31,Big East,Northeast,143,active
cbb-kelly-pfeifer-89,Kelly Pfeifer,89,Big Ten,Midwest,141,active
cbb-owen-shortt-60,Owen Shortt,60,SEC,Southeast,139,active
cbb-clarence-armstrong-9,Clarence Armstrong,9,ACC,Southeast,137,active
cbb-lamar-simpson-46,Lamar Simpson,46,Big East,Northeast,135,active
cbb-mike-roberts-27,Mike Roberts,27,Big East,Northeast,133,active
cbb-larry-scirotto-41,Larry Scirotto,41,Big Ten,Midwest,133,active
cbb-bart-lenox-157,Bart Lenox,157,SEC,Southeast,130,active
cbb-brent-hampton-21,Brent Hampton,21,Big East,Northeast,127,active
cbb-brooks-wells-85,Brooks Wells,85,Big 12,Central,126,active
cbb-steven-anderson-66,Steven Anderson,66,SEC,Southeast,125,active
cbb-tommy-morrissey-16,Tommy Morrissey,16,ACC,Southeast,122,active
cbb-jeb-hartness-47,Jeb Hartness,47,SEC,Southeast,121,active
cbb-tim-clougherty-18,Tim Clougherty,18,Big East,Northeast,120,active
cbb-michael-greenstein-68,Michael Greenstein,68,Other,National,119,active
cbb-marques-pettigrew-81,Marques Pettigrew,81,Big 12,Central,118,active
cbb-jeff-clark-14,Jeff Clark,14,Big East,Northeast,115,active
cbb-mike-reed-51,Mike Reed,51,Big Ten,Midwest,115,active
cbb-a-j-desai-25,A.J. Desai,25,ACC,Southeast,112,active
cbb-tony-henderson-32,Tony Henderson,32,ACC,Southeast,108,active
cbb-ted-valentine-11,Ted Valentine,11,ACC,Southeast,107,active
cbb-patrick-evans-39,Patrick Evans,39,SEC,Southeast,103,active
cbb-gregory-nixon-92,Gregory Nixon,92,Other,National,101,active
cbb-robert-riley-131,Robert Riley,131,Big Ten,Midwest,99,active
cbb-nathan-farrell-229,Nathan Farrell,229,Big East,Northeast,97,active
cbb-vladimir-voyard-tadal-53,Vladimir Voyard-Tadal,53,SEC,Southeast,96,active
cbb-michael-irving-86,Michael Irving,86,Big Ten,Midwest,96,active
cbb-verne-harris-104,Verne Harris,104,Big Ten,Midwest,96,active
cbb-chuck-jones-58,Chuck Jones,58,SEC,Southeast,92,active
cbb-bill-covington-jr-33,Bill Covington Jr.,33,ACC,Southeast,89,active
cbb-ray-natili-76,Ray Natili,76,Big 12,Central,87,active
cbb-olandis-poole-64,Olandis Poole,64,SEC,Southeast,86,active
cbb-randy-mccall-87,Randy McCall,87,Big 12,Central,85,active
cbb-randy-richardson-119,Randy Richardson,119,Big Ten,Midwest,85,active
cbb-bret-smith-78,Bret Smith,78,Big 12,Central,82,active
cbb-greg-evans-164,Greg Evans,164,Big East,Northeast,81,active
cbb-bo-boroski-42,Bo Boroski,42,Big Ten,Midwest,76,active
cbb-rob-rorke-185,Rob Rorke,185,SEC,Southeast,74,active
cbb-jamie-luckie-17,Jamie Luckie,17,ACC,Southeast,73,active
cbb-todd-austin-166,Todd Austin,166,SEC,Southeast,73,active
cbb-wil-howard-61,Wil Howard,61,SEC,Southeast,72,active
cbb-evon-burroughs-161,Evon Burroughs,161,Big East,Northeast,72,active
cbb-jeff-anderson-20,Jeff Anderson,20,Big East,Northeast,70,active
cbb-john-higgins-48,John Higgins,48,Big 12,Central,68,active
cbb-chance-moore-72,Chance Moore,72,Big 12,Central,68,active
cbb-deldre-carr-95,Deldre Carr,95,Big 12,Central,68,active
cbb-tony-greene-57,Tony Greene,57,SEC,Southeast,67,active
cbb-gerry-pollard-82,Gerry Pollard,82,Big 12,Central,66,active
cbb-tim-comer-191,Tim Comer,191,Big Ten,Midwest,66,active
cbb-edwin-young-137,Edwin Young,137,Big Ten,Midwest,65,active
cbb-eric-curry-40,Eric Curry,40,Big 12,Central,64,active
cbb-k-b-burdett-65,K.B. Burdett,65,SEC,Southeast,62,active
cbb-nate-harris-94,Nate Harris,94,Big Ten,Midwest,57,active
cbb-darron-george-73,Darron George,73,Big 12,Central,55,active
cbb-rick-crawford-70,Rick Crawford,70,Big 12,Central,53,active
cbb-rob-kueneman-140,Rob Kueneman,140,Big Ten,Midwest,53,active
cbb-jason-baker-67,Jason Baker,67,SEC,Southeast,52,active
cbb-mark-schnur-1,Mark Schnur,1,ACC,Southeast,51,active
cbb-mike-nance-62,Mike Nance,62,SEC,Southeast,51,active
cbb-k-b-burdett-jr-206,K.B. Burdett Jr.,206,SEC,Southeast,51,active
cbb-amy-bonner-74,Amy Bonner,74,Big 12,Central,50,active
cbb-kevin-brill-129,Kevin Brill,129,Big Ten,Midwest,50,active
cbb-bill-ek-135,Bill Ek,135,Big Ten,Midwest,48,active
cbb-justin-porterfield-49,Justin Porterfield,49,ACC,Southeast,47,active
cbb-anthony-jordan-63,Anthony Jordan,63,SEC,Southeast,46,active
cbb-steve-mcjunkins-144,Steve McJunkins,144,Big Ten,Midwest,46,active
cbb-michael-palau-227,Michael Palau,227,Big East,Northeast,46,active
cbb-lewis-garrison-145,Lewis Garrison,145,Big Ten,Midwest,44,active
cbb-raymie-styons-8,Raymie Styons,8,ACC,Southeast,43,active
cbb-terry-wymer-45,Terry Wymer,45,SEC,Southeast,43,active
cbb-gary-maxwell-75,Gary Maxwell,75,Big 12,Central,43,active
cbb-jason-phillips-344,Jason Phillips,344,Big Ten,Midwest,43,active
cbb-jerry-heater-7,Jerry Heater,7,ACC,Southeast,42,active
cbb-mike-littlewood-268,Mike Littlewood,268,Big Ten,Midwest,41,active
cbb-antinio-petty-71,Antinio Petty,71,Big 12,Central,40,active
cbb-donnie-eppley-138,Donnie Eppley,138,Big Ten,Midwest,40,active
cbb-john-floyd-225,John Floyd,225,Big Ten,Midwest,40,active
cbb-jemel-spearman-197,Jemel Spearman,197,ACC,Southeast,39,active
cbb-chris-pacsi-158,Chris Pacsi,158,Big 12,Central,37,active
cbb-lucas-santos-242,Lucas Santos,242,SEC,Southeast,37,active
cbb-deron-white-98,Deron White,98,Big 12,Central,33,active
cbb-scott-brown-97,Scott Brown,97,Other,National,32,active
cbb-chris-beaver-141,Chris Beaver,141,Big Ten,Midwest,32,active
cbb-david-hall-118,David Hall,118,Other,National,31,active
cbb-tommy-johnson-306,Tommy Johnson,306,Big 12,Central,31,active
cbb-chris-rastatter-84,Chris Rastatter,84,Other,National,30,active
cbb-frank-harvey-112,Frank Harvey,112,Big 12,Central,29,active
cbb-andy-o-brien-316,Andy O'Brien,316,Big Ten,Midwest,29,active
cbb-michael-stephens-12,Michael Stephens,12,Big East,Northeast,28,active
cbb-mike-scyphers-127,Mike Scyphers,127,Big Ten,Midwest,27,active
cbb-wally-rutecki-160,Wally Rutecki,160,Big East,Northeast,27,active
cbb-nathan-hall-228,Nathan Hall,228,Big East,Northeast,27,active
cbb-larry-spaulding-77,Larry Spaulding,77,Big 12,Central,26,active
cbb-d-g-nelson-122,D.G. Nelson,122,Big 12,Central,26,active
cbb-tyler-kumpf-246,Tyler Kumpf,246,Big 12,Central,26,active
cbb-keith-patterson-204,Keith Patterson,204,Big 12,Central,24,active
cbb-eric-lewis-340,Eric Lewis,340,ACC,Southeast,24,active
cbb-garrick-shannon-179,Garrick Shannon,179,Big 12,Central,23,active
cbb-chad-barlow-132,Chad Barlow,132,Big Ten,Midwest,22,active
cbb-justin-shamion-96,Justin Shamion,96,Other,National,21,active
cbb-josue-nieves-178,Josue Nieves,178,SEC,Southeast,21,active
cbb-ed-corliss-256,Ed Corliss,256,Big East,Northeast,21,active
cbb-jeff-pon-35,Jeff Pon,35,ACC,Southeast,20,active
cbb-glen-mayberry-124,Glen Mayberry,124,Big Ten,Midwest,20,active
cbb-chris-merlo-266,Chris Merlo,266,Big 12,Central,20,active
cbb-isaac-barnett-298,Isaac Barnett,298,ACC,Southeast,20,active
cbb-tommy-nunez-106,Tommy Nunez,106,Big Ten,Midwest,19,active
cbb-tim-smith-165,Tim Smith,165,Big East,Northeast,19,active
cbb-bharat-ramnanan-278,Bharat Ramnanan,278,SEC,Southeast,19,active
cbb-michael-kitts-159,Michael Kitts,159,Big Ten,Midwest,18,active
cbb-brian-mcnutt-218,Brian McNutt,218,Big Ten,Midwest,18,active
cbb-kellen-miliner-251,Kellen Miliner,251,ACC,Southeast,18,active
cbb-lamont-simpson-217,Lamont Simpson,217,Big Ten,Midwest,17,active
cbb-jason-garretson-324,Jason Garretson,324,Big 12,Central,16,active
cbb-brandon-cruz-152,Brandon Cruz,152,Big Ten,Midwest,15,active
cbb-kelly-self-175,Kelly Self,175,Big 12,Central,15,active
cbb-sean-hull-200,Sean Hull,200,ACC,Southeast,15,active
cbb-doug-simmons-88,Doug Simmons,88,Big Ten,Midwest,14,active
cbb-r-b-clyburn-180,R.B. Clyburn,180,SEC,Southeast,14,active
cbb-clare-simmons-201,Clare Simmons,201,ACC,Southeast,14,active
cbb-alfred-smith-219,Alfred Smith,219,Big Ten,Midwest,13,active
cbb-bill-vinovich-126,Bill Vinovich,126,Big 12,Central,12,active
cbb-robert-felder-156,Robert Felder,156,Big 12,Central,12,active
cbb-trey-styons-190,Trey Styons,190,ACC,Southeast,12,active
cbb-james-ford-272,James Ford,272,Big 12,Central,12,active
cbb-chase-shaw-297,Chase Shaw,297,ACC,Southeast,12,active
cbb-anthony-burris-315,Anthony Burris,315,Big Ten,Midwest,12,active
cbb-marc-a-beasley-111,Marc A. Beasley,111,Other,National,11,active
cbb-randy-heimerman-181,Randy Heimerman,181,Big 12,Central,11,active
cbb-peter-larson-193,Peter Larson,193,Big East,Northeast,11,active
cbb-ryan-sassano-195,Ryan Sassano,195,ACC,Southeast,11,active
cbb-landon-brandes-241,Landon Brandes,241,SEC,Southeast,11,active
cbb-justin-albrecht-300,Justin Albrecht,300,Big East,Northeast,11,active
cbb-ryan-holmes-113,Ryan Holmes,113,Other,National,10,active
cbb-jim-schipper-130,Jim Schipper,130,Big Ten,Midwest,10,active
cbb-michael-wallace-262,Michael Wallace,262,SEC,Southeast,10,active
cbb-erroll-lewis-264,Erroll Lewis,264,SEC,Southeast,10,active
cbb-gerald-williams-184,Gerald Williams,184,Big 12,Central,9,active
cbb-anthony-eades-299,Anthony Eades,299,ACC,Southeast,9,active
cbb-doug-simons-69,Doug Simons,69,Big 12,Central,8,active
cbb-shawn-lehigh-114,Shawn Lehigh,114,Other,National,8,active
cbb-rick-batsell-115,Rick Batsell,115,Other,National,8,active
